Life_expectancy,Status,Percentage_expenditure,GDP,ICOR,Schooling
75.1,Developing,555.9260834,5564.82566,0.732,14.4
74.9,Developing,509.0020405,5432.2523,0.724,14
74.7,Developing,430.7175861,4463.394675,0.714,13.6
74.4,Developing,352.0636419,3868.83123,0.705,13.1
74.1,Developing,43.08717334,495.254866,0.697,12.6
73.8,Developing,320.3239241,3935.183343,0.69,12.3
73.4,Developing,270.2401962,3464.6179,0.686,12.3
72.9,Developing,2.548922758,31.122378,0.68,12
72.3,Developing,220.393699,2598.9823,0.673,11.7
71.7,Developing,25.0185226,294.33556,0.663,11.5
71.6,Developing,148.5119843,1774.33673,0.653,11.1
71.4,Developing,147.9860714,1732.857979,0.644,10.9
71.3,Developing,154.4559436,1757.17797,0.636,10.7
52.4,Developing,0,3695.793748,0.531,11.4
51.7,Developing,23.965612,479.31224,0.527,11.4
51.1,Developing,35.95857279,484.616884,0.523,11.4
56,Developing,256.1225243,4598.249988,0.508,10.3
51,Developing,239.8913921,4299.12889,0.495,9.4
49.6,Developing,191.6537407,3529.53482,0.488,9
49.1,Developing,212.9229325,3347.84485,0.48,8.5
48.7,Developing,249.9101958,3868.578883,0.468,8.1
48.2,Developing,184.8213446,2878.837144,0.454,7.7
47.7,Developing,25.08688824,262.415149,0.439,7.2
47.4,Developing,98.19145117,1443.991929,0.426,6.8
47.1,Developing,8.8667775,141.86844,0.415,6.4
46.8,Developing,35.93349121,779.468356,0.406,5.9
46.5,Developing,24.037942,711.181716,0.401,5.5
45.7,Developing,30.35993647,526.168743,0.391,5.1
45.3,Developing,15.88149254,555.2969419,0.382,4.6
76.4,Developing,0,13566.9541,0.784,13.9
76.2,Developing,2422.999774,12888.29667,0.782,13.9
76.1,Developing,1991.430372,12224.86416,0.781,13.9
75.9,Developing,2156.229842,12565.44197,0.778,13.8
75.7,Developing,1810.875316,11929.34991,0.782,14.1
75.6,Developing,1983.956937,12126.87614,0.783,14.1
75.4,Developing,149.3587355,1312.46692,0.788,14.2
75.2,Developing,180.7762695,1473.31923,0.786,14.4
75,Developing,257.9665308,14252.29452,0.781,14.5
74.8,Developing,216.3146941,12724.39377,0.773,14.7
74.6,Developing,1455.608186,11371.93895,0,0
74.4,Developing,22.86295206,1352.8374,0,0
74.2,Developing,1158.065259,9739.82556,0,0
74,Developing,927.4075855,9386.716452,0,0
73.8,Developing,163.7676978,9358.154162,0,0
73.6,Developing,1127.74347,9875.161736,0,0
76.3,Developing,0,13467.1236,0.826,17.3
76.2,Developing,847.3717463,12245.25645,0.825,17.3
76,Developing,1001.796332,12976.63642,0.823,17.3
75.9,Developing,1133.558003,12969.7712,0.822,17.2
75.7,Developing,1504.329462,12726.9836,0.816,17.1
75.5,Developing,187.610955,1276.265,0.802,16.8
75.6,Developing,1398.042623,8161.36966,0.794,16.5
75.4,Developing,1413.73543,8953.359275,0.792,16.3
74.8,Developing,1105.659031,7193.61764,0.788,16.3
75.2,Developing,961.1774676,5878.76127,0.782,16.1
74.9,Developing,96.16653429,576.883829,0.78,16.3
74.7,Developing,719.3663797,4251.574348,0.775,16.3
74.1,Developing,57.58467352,333.4376,0.77,16.4
74.1,Developing,470.1869145,2579.193168,0.776,16.3
74,Developing,123.0128671,717.694674,0.771,15.6
74.1,Developing,1349.025282,7669.273916,0.764,15
74.8,Developing,0,369.654776,0.741,12.7
74.6,Developing,295.6087143,3994.712355,0.739,12.7
74.4,Developing,279.4290812,3843.591213,0.736,12.7
74.4,Developing,274.1526986,3684.8481,0.732,12.7
73.9,Developing,260.9963826,3526.978143,0.729,12.7
73.5,Developing,224.3212014,3218.381655,0.72,12.3
73.3,Developing,201.1855461,2993.832531,0.725,11.9
73.2,Developing,2.8888979,41.26997,0.721,12.3
73.5,Developing,44.57219966,3138.8873,0.707,11.7
72.9,Developing,244.5352767,2158.299,0.692,11.2
73,Developing,20.21822828,1643.758397,0.679,10.9
73,Developing,97.74087744,1191.96192,0.668,10.9
72.7,Developing,7.341493148,93.1661567,0.657,10.8
72.6,Developing,57.17810403,783.261699,0.645,10.8
72.6,Developing,53.19373012,694.435119,0.644,11.1
72,Developing,32.75626853,622.7427477,0.639,11.2
82.8,Developed,0,56554.3876,0.937,20.4
82.7,Developed,10769.36305,62214.6912,0.936,20.4
82.5,Developed,11734.85381,67792.3386,0.933,20.3
82.3,Developed,11714.99858,67677.63477,0.93,20.1
82,Developed,10986.26527,62245.129,0.927,19.8
81.9,Developed,8875.786493,51874.848,0.927,19.5
81.7,Developed,7172.275229,42742.99898,0.925,19.1
81.3,Developed,8547.292357,49664.6854,0.921,19.1
81.3,Developed,872.5986092,4991.98289,0.918,19
81.2,Developed,6187.062017,36118.28381,0.915,20.3
81,Developed,579.1331637,3416.71483,0.91,20.3
86,Developed,588.568371,3472.37977,0.908,20.7
83,Developed,3829.550928,23465.38559,0.905,20.6
79.9,Developed,46.3871819,281.81763,0.902,20.1
79.9,Developed,3064.301144,19517.84168,0.899,20.5
79.5,Developed,347.18736,2169.921,0.897,20.4
81.5,Developed,0,43665.947,0.892,15.9
81.4,Developed,8350.193523,51322.63997,0.892,15.9
81.1,Developed,90.58501176,554.71532,0.887,15.7
88,Developed,7878.372355,48333.57273,0.884,15.7
88,Developed,8272.306757,51126.74139,0.88,15.7
84,Developed,7423.228774,46657.629,0.872,15.4
82,Developed,8053.557638,47654.18721,0.87,15.3
84,Developed,8329.731655,51386.37665,0.864,15.1
81,Developed,7453.8644,46586.6525,0.86,15.2
79.8,Developed,69.92899358,443.99361,0.854,15
79.4,Developed,5992.588029,38242.4252,0.848,14.9
79.3,Developed,5316.877456,36693.4262,0.841,14.7
78.8,Developed,504.4308735,3212.9355,0.837,14.7
78.7,Developed,3979.057728,26351.37568,0.847,16.1
78.6,Developed,3582.848308,24489.73553,0.837,15.5
78.1,Developed,3557.455507,24517.26745,0.833,15.4
72.7,Developing,0,55.31382,0.758,12.7
72.5,Developing,306.1824313,7891.299776,0.752,12.2
72.2,Developing,275.6514934,7875.756953,0.745,11.9
71.9,Developing,285.6103912,7496.335728,0.742,11.8
71.6,Developing,263.142699,7189.691229,0.741,11.7
71.1,Developing,246.5686008,5842.85784,0.737,11.7
78,Developing,22.48638351,495.294791,0.728,11.6
73,Developing,206.2616134,5574.6382,0.719,11.6
73,Developing,176.0107106,3851.437869,0.708,11.6
69.2,Developing,105.6337264,2473.85776,0.682,10.7
68.4,Developing,81.28883085,1578.4239,0.675,11.2
68.4,Developing,8.59680496,145.2163,0.668,11
67.8,Developing,42.41491183,883.6439965,0.659,10.8
67.8,Developing,39.33253687,763.73858,0.651,10.6
67.5,Developing,4.104190077,73.6838434,0.642,10.4
66.6,Developing,35.09462644,655.974326,0.636,10.1
76.1,Developing,0,,0.79,12.6
75.4,Developing,0,,0.789,12.6
74.8,Developing,0,,0.79,12.6
74.9,Developing,0,,0.789,12.6
75,Developing,0,,0.788,12.6
75,Developing,0,,0.788,12.6
74.6,Developing,0,,0.791,12.6
74.5,Developing,0,,0.791,12.6
74.4,Developing,0,,0.79,12.5
74.2,Developing,0,,0.788,12.4
74.1,Developing,0,,0.786,12.4
73.8,Developing,0,,0.784,12.3
73.2,Developing,0,,0.783,12.2
73.1,Developing,0,,0.781,12.1
72.9,Developing,0,,0.779,12.1
72.6,Developing,0,,0,12
76.9,Developing,0,22688.87824,0.823,14.5
76.8,Developing,367.2556742,24983.3792,0.82,14.5
76.7,Developing,3.968695982,251.18329,0.815,14.5
76.5,Developing,2211.215778,23649.36661,0.812,14.5
76.1,Developing,197.7734681,2281.1242,0.812,14.4
76.1,Developing,266.7696122,2722.1389,0.81,14.4
76,Developing,332.9347646,19356.67236,0.814,14.4
75.8,Developing,231.5478912,2367.56535,0.815,14.4
75.6,Developing,278.3602806,2977.1153,0.813,14.4
75.5,Developing,170.7374027,1937.99549,0.81,14.2
75.3,Developing,1553.468944,17959.17854,0.806,14
75.2,Developing,1380.228095,15846.47641,0.803,13.9
75,Developing,1214.558167,14221.99259,0.798,13.7
74.9,Developing,106.4303336,1312.33457,0.796,13.5
74.7,Developing,1150.418063,12868.211,0.794,13.3
74.5,Developing,167.7270642,13636.34668,0.786,13.2
71.8,Developing,0,121.15812,0.575,10.2
71.4,Developing,10.44640334,184.56543,0.57,10
71,Developing,52.82986467,951.8894535,0.565,10
77,Developing,59.2589257,856.342857,0.557,9.9
73,Developing,62.34988484,835.789341,0.545,9.4
69.9,Developing,62.65945432,757.6717572,0.535,8.9
69.5,Developing,53.26400378,681.125368,0.523,8.4
69.1,Developing,42.48865034,615.7775411,0.52,8.6
68.6,Developing,46.36536703,541.651484,0.513,8.6
68.2,Developing,42.3304549,494.51466,0.506,8.4
67.8,Developing,38.05462002,484.155471,0.499,8.2
67.3,Developing,4.11469667,46.7579167,0.491,8.1
66.8,Developing,35.48458957,432.7388972,0.484,7.9
66.3,Developing,0.397228764,4.6135745,0.476,7.7
65.8,Developing,3.395069781,42.5981152,0.468,7.5
65.3,Developing,3.69633051,45.63371,0.459,7.3
75.5,Developing,0,15557.8381,0.794,15.3
75.4,Developing,294.9056584,15359.66971,0.793,15.3
75.2,Developing,263.0372838,15472.7814,0.792,15.3
75.1,Developing,260.0043858,15384.8749,0.785,15.3
74.9,Developing,173.9825629,15534.1574,0.78,15.5
74.7,Developing,154.9630863,1595.91232,0.781,15.8
74.6,Developing,327.1618128,16523.32388,0.779,15.5
74.4,Developing,25.52277112,1657.3228,0.775,15.3
74.2,Developing,1641.30981,16462.48556,0.771,15
74.1,Developing,181.5000856,15646.5591,0.766,14.8
73.9,Developing,1311.440423,14223.86576,0.761,14.6
73.8,Developing,166.0083443,12868.8639,0.757,14.4
73.7,Developing,13.5139917,1228.5447,0.753,14.2
73.5,Developing,133.099491,11675.39395,0.749,14
73.4,Developing,138.1664627,11513.87189,0.75,14
73.3,Developing,1140.615754,11568.1111,0.741,14
72.3,Developing,0,5949.11677,0.798,15.6
72,Developing,1147.1114,8318.429294,0.796,15.7
71.7,Developing,1109.854619,7978.825443,0.796,15.7
71.9,Developing,91.70962117,694.243915,0.793,15.6
72,Developing,846.9113071,6519.71753,0.787,15.5
73,Developing,8.49409518,63.38877,0.78,15.5
70,Developing,434.7985025,5176.172649,0.771,15.4
70,Developing,501.8056141,6376.183153,0.755,15.1
69.8,Developing,464.077513,4735.484827,0.739,14.9
68.9,Developing,364.426052,3848.215966,0.723,14.6
68.1,Developing,45.65007798,3126.71767,0.713,14.4
68.2,Developing,42.33443901,2378.33927,0.703,14.1
67.7,Developing,23.83578594,1819.525644,0.695,13.9
67.2,Developing,145.4233629,1479.383142,0.687,13.6
67.7,Developing,14.06141699,1244.373185,0.681,13.3
68,Developing,24.24947846,1276.28834,0.675,13.1
81.1,Developed,0,4356.875,0.895,16.6
89,Developed,7163.348923,47439.39684,0.89,16.3
87,Developed,702.359357,4651.38647,0.889,16.3
83,Developed,664.4738975,4474.5717,0.886,16.2
83,Developed,713.5297354,4772.77415,0.884,16.1
80,Developed,665.7356115,4438.23741,0.878,15.9
79.8,Developed,671.9376566,4488.5615,0.876,15.8
79.5,Developed,7191.051507,48424.58927,0.874,15.8
79.5,Developed,640.3560918,4443.83131,0.871,15.8
79.4,Developed,5579.199083,38852.3613,0.865,15.7
78.9,Developed,5068.214488,36967.28292,0.861,15.7
78.8,Developed,5160.508378,35589.71295,0.88,18.8
78.3,Developed,507.306164,3743.95693,0.878,18.6
78,Developed,320.3177664,2552.3328,0.875,18.8
78,Developed,2943.375396,23121.56635,0.873,18.2
77.6,Developed,287.2084529,2327.4591,0.869,18
71,Developing,0,4849.997495,0.706,12.8
70,Developing,670.0920883,4852.223666,0.705,12.8
69.8,Developing,629.2018591,4688.538443,0.706,12.9
69.4,Developing,582.8027185,4673.63848,0.702,12.5
69.4,Developing,605.6286892,4516.24675,0.7,12.4
69.5,Developing,569.9527122,4344.15177,0.7,12.4
69.5,Developing,549.8096097,4258.788611,0.7,12.7
69.6,Developing,51.25232422,447.22796,0.699,12.8
69.6,Developing,69.63051047,4324.876427,0.7,12.8
69.4,Developing,387.3324928,4187.3783,0.692,12.3
69,Developing,365.799896,3933.332215,0.695,12.8
68.7,Developing,325.6807462,3831.53819,0.691,12.5
68.4,Developing,312.7995946,3679.99523,0.684,12.2
68.5,Developing,262.8299189,3556.561825,0.678,11.9
68.2,Developing,251.6586929,3419.275719,0.677,11.8
68.3,Developing,219.0239836,3364.423711,0.668,11.7
60,Developing,0,783.94791,0.481,10.7
59.7,Developing,90.12206791,943.686575,0.475,10.7
59.5,Developing,87.4080423,915.2674586,0.466,10.3
59.3,Developing,9.80407467,837.9551,0.458,10
59.1,Developing,110.2633619,825.9427854,0.454,9.8
58.7,Developing,94.25737917,757.695974,0.451,9.5
58.4,Developing,71.01399249,793.45243,0.448,9.3
57.6,Developing,7.615430126,82.1513498,0.444,9.1
57.1,Developing,7.49281752,76.535419,0.438,8.9
56.8,Developing,75.91429496,625.8392,0.434,8.7
56.5,Developing,7.106997355,61.799977,0.43,8.5
56.1,Developing,10.73628066,583.493514,0.423,8.1
55.8,Developing,8.931827297,519.2922847,0.416,7.7
55.6,Developing,40.48815233,418.6985763,0.407,7.3
55.5,Developing,45.33476384,378.73654,0.395,6.6
55.4,Developing,37.38182018,374.1923942,0.389,6.4
69.8,Developing,0,2613.645177,0.604,12.5
69.4,Developing,209.3921344,2522.7968,0.596,12.5
69.1,Developing,19.79057439,235.882889,0.589,12.6
68.7,Developing,188.7373664,2422.816,0.581,12.3
68.3,Developing,289.8524057,2458.45976,0.572,11.9
67.9,Developing,244.0391949,2178.921383,0,11.4
67.4,Developing,27.48907048,177.234497,0,10.9
67,Developing,302.667579,1795.18137,0,10.5
66.5,Developing,283.806236,1741.142552,0,10.1
65.8,Developing,169.2023968,1335.45696,0,9.6
65,Developing,145.5965445,1247.61392,0,9.2
64.2,Developing,2.586698228,197.45788,0,8.8
63.3,Developing,19.15664091,997.7417141,0,8.4
62.5,Developing,151.9755193,885.6382245,0,8
61.7,Developing,8.574029812,87.9387673,0,7.6
62,Developing,93.35872844,765.8632358,0,7.3
77,Developing,0,,0.671,13.8
74,Developing,0,,0.666,13.8
71,Developing,0,,0.661,13.8
69.8,Developing,0,,0.655,13.8
69.3,Developing,0,,0.649,13.8
68.7,Developing,0,,0.643,13.8
68,Developing,0,,0.636,13.8
67.4,Developing,0,,0.632,14
66.8,Developing,0,,0.626,14.1
66.2,Developing,0,,0.625,14.3
65.7,Developing,0,,0.622,14.4
65.1,Developing,0,,0.62,14.6
64.5,Developing,0,,0.617,14.4
63.9,Developing,0,,0.61,14
63.3,Developing,0,,0.607,13.7
62.6,Developing,0,,0.6,13.3
77.4,Developing,0,4574.9787,0.747,14.2
77.2,Developing,732.8662491,5193.94932,0.742,14.2
77,Developing,75.61062911,535.86555,0.735,14.2
76.8,Developing,693.8226461,4716.673325,0.728,13.9
76.9,Developing,7.959131146,55.156834,0.711,13.4
76.4,Developing,630.3883564,4611.47298,0.717,13.3
76.1,Developing,645.021302,4697.89732,0.716,13.3
76,Developing,66.04635027,575.31664,0.71,13.1
75.4,Developing,8.240355867,418.292176,0.703,12.9
75.7,Developing,38.25414065,344.321698,0.697,12.7
75,Developing,45.71354264,2968.41186,0,12.5
75.5,Developing,3.479918859,265.642661,0,12.3
75.2,Developing,39.86518043,2214.732246,0,12.1
75.4,Developing,151.1399301,1761.537647,0,11.9
74.9,Developing,143.2947487,1524.41222,0,11.6
74.6,Developing,165.6168642,1461.7552,0,0
65.7,Developing,0,6532.651,0.698,12.6
65.1,Developing,662.802194,7497.762376,0.697,12.6
64.2,Developing,1.117811275,77.625783,0.693,12.6
63.4,Developing,12.83447357,729.231453,0.687,12.5
62.2,Developing,668.9562854,7645.21469,0.678,12.4
61.1,Developing,547.0386679,6346.15624,0.669,12.3
59.2,Developing,426.7855662,5185.729845,0.661,12.2
57.5,Developing,476.8625872,5623.379566,0.646,12.1
56.9,Developing,512.5887995,5714.47937,0.63,12.1
54.8,Developing,76.31867911,5374.554867,0.61,11.9
51.7,Developing,629.8425643,5351.253732,0.593,11.9
48.1,Developing,469.5823898,4896.583835,0.58,11.8
46.4,Developing,299.3671252,4163.6596,0.567,11.8
46,Developing,6.3300072,355.618382,0.558,11.9
46.7,Developing,306.9527349,3128.97793,0.56,11.8
47.8,Developing,250.8916484,3349.68823,0.559,11.7
75,Developing,0,8757.2622,0.754,15.2
74.8,Developing,83.16465362,1226.61731,0.747,15.2
74.7,Developing,916.270845,12216.9446,0.734,14.2
74.5,Developing,843.1946259,12291.46685,0.73,14.2
74.1,Developing,1084.999766,13167.47289,0.724,14
73.8,Developing,1111.191325,11224.1548,0.716,13.8
73.6,Developing,564.5233902,8553.3847,0.714,13.8
73.4,Developing,526.3780636,8787.61375,0.704,13.3
73.3,Developing,394.9321299,7313.557962,0.7,13.5
73,Developing,30.30374691,586.145975,0.698,13.8
72.7,Developing,23.76370075,477.182746,0.694,13.8
72,Developing,186.6090485,3623.47667,0.695,14
71.8,Developing,15.85781237,359.587582,0.699,14.8
71.4,Developing,140.9824766,2819.649531,0.692,14.6
71,Developing,149.4802091,3146.95177,0.685,14.3
75,Developing,179.4777293,3739.11936,0.677,14.1
77.7,Developing,0,3967.8951,0.864,14.9
77.6,Developing,269.1432784,4159.8652,0.863,15
77.1,Developing,2845.306444,44597.27968,0.86,14.9
78.3,Developing,3192.634413,47651.2599,0.852,14.4
77.4,Developing,295.7730171,4717.273,0.846,14.1
76.9,Developing,2218.364226,35268.1117,0.845,14.2
76.8,Developing,1873.686852,27965.4754,0.841,14.1
77.2,Developing,2538.941033,37951.286,0.84,14.2
76,Developing,2048.557422,32672.36717,0.84,14.3
76.3,Developing,24.97532919,398.96692,0.837,14.3
76.2,Developing,179.7147814,2612.13345,0.834,14.1
76.4,Developing,1504.30004,21896.6527,0.828,13.7
76,Developing,1406.51194,18555.56649,0.823,13.4
74.8,Developing,941.7036868,16846.2198,0.82,13.3
74.7,Developing,1078.66244,16468.12886,0.819,13.4
74.4,Developing,11.79686108,188.44826,0.818,13.4
74.5,Developed,0,6993.47736,0.792,15
74.3,Developed,153.1400362,7853.335191,0.787,14.8
74.1,Developed,149.659879,7674.86559,0.781,14.4
73.9,Developed,851.450672,7378.25539,0.778,14.3
73.7,Developed,875.1495189,7813.83499,0.775,14.2
73.4,Developed,766.4454884,6843.263289,0.77,13.9
73.2,Developed,661.5144334,6955.987733,0.768,13.8
72.9,Developed,107.9826127,7296.122479,0.761,13.8
72.6,Developed,591.5100978,5932.899677,0.755,13.5
72.2,Developed,508.6304588,4513.13628,0.75,13.5
72.1,Developed,456.3404657,3893.68998,0.745,13.5
72.2,Developed,384.1473028,3381.57837,0.738,13.3
72,Developed,32.38616103,271.46824,0.729,12.9
71.8,Developed,33.26778134,287.534843,0.723,12.9
71.6,Developed,25.06262895,1764.97387,0.713,12.9
71.1,Developed,15.2357274,169.28586,0.709,12.9
59.9,Developing,0,615.592225,0.399,7.7
59.3,Developing,8.386339501,75.1464113,0.398,7.7
59,Developing,88.97040214,699.452847,0.392,7.5
58.6,Developing,78.76987363,673.8227,0.384,7.2
58.1,Developing,85.55592906,666.842783,0.377,6.7
57.5,Developing,90.46018236,575.4464527,0.365,6.3
56.9,Developing,81.14304705,552.7455521,0.356,5.9
56.1,Developing,107.7988339,569.7612784,0.345,5.4
55.3,Developing,73.92730583,475.11122,0.334,4.9
54.3,Developing,64.24025208,422.6332374,0.325,4.7
53.3,Developing,8.769989329,46.998871,0,4.3
52.4,Developing,56.96108089,371.323865,0,3.9
51.6,Developing,41.60951275,332.344351,0,3.8
51,Developing,3.195566831,26.7635413,0,3.6
56,Developing,23.1016899,235.4912324,0,3.5
51,Developing,19.83929597,226.4759814,0,3.4
59.6,Developing,0,33.681223,0.406,10.6
59.1,Developing,41.25159038,312.7489794,0.404,10.6
58.6,Developing,40.15128458,282.7555252,0.398,10.5
58,Developing,38.73170505,265.285651,0.393,10.3
57.4,Developing,3.595980333,26.479973,0.385,9.9
56.8,Developing,31.14187566,231.1943256,0.361,9.3
56.2,Developing,2.030494673,24.944652,0.336,8.6
55.3,Developing,15.99415192,196.2472628,0.319,7.9
54.8,Developing,1.72659515,17.79995,0.309,7.2
54.1,Developing,21.24915339,165.8794176,0.29,5.9
53.4,Developing,1.747440948,15.57434,0.286,5.6
52.6,Developing,11.22655347,127.4296648,0.279,5.2
51.9,Developing,6.545263634,112.849373,0.276,4.7
51.5,Developing,9.660010196,122.4335893,0.268,4.4
51.3,Developing,10.61917585,133.7427689,0.268,4.5
58,Developing,9.696689164,135.9984455,0.268,4.5
53.3,Developing,0,,,
52.8,Developing,0,,,
52.3,Developing,0,,,
52,Developing,0,,,
51.7,Developing,0,,,
51.5,Developing,0,,,
51,Developing,0,,,
54,Developing,0,,,
49.9,Developing,0,,,
49.4,Developing,0,,,
48.7,Developing,0,,,
48.2,Developing,0,,,
48,Developing,0,,,
47.7,Developing,0,,,
47.8,Developing,0,,,
47.9,Developing,0,,,
73.3,Developing,0,2954.119467,0.646,13.5
73,Developing,414.0242418,3529.61843,0.643,13.5
72.8,Developing,325.6298627,3558.796314,0.643,13.6
72.7,Developing,33.55888998,348.482762,0.636,13.2
72.6,Developing,4.409153436,367.429453,0.632,13.1
72.5,Developing,286.8907303,3312.825985,0.627,12.7
72.4,Developing,339.9777364,3444.5566,0.621,12.4
72.4,Developing,360.6208825,3638.95946,0.615,12.2
72.3,Developing,345.463714,3112.285712,0.602,11.9
72.1,Developing,26.45133197,234.28992,0.596,11.9
71.8,Developing,3.349816965,248.13459,0.582,11.2
71.4,Developing,240.139715,1976.45856,0.574,11.1
71.1,Developing,209.0865,1768.92132,0.572,11.3
77,Developing,155.2072669,1373.515636,0.569,11.3
73,Developing,150.7434862,1268.884564,0.562,11
69.9,Developing,122.5744699,1239.377855,0,11.3
68.7,Developing,0,1163.18977,0.558,10.9
68.3,Developing,12.17952064,198.687123,0.553,10.9
67.8,Developing,8.758214538,128.419568,0.546,10.8
67.4,Developing,6.914723983,95.244132,0.54,10.7
67,Developing,60.18591771,882.491462,0.533,10.7
66.6,Developing,56.88416481,785.6928841,0.519,10.6
66.1,Developing,48.35423978,738.2326684,0.52,10.5
65.6,Developing,53.10009046,745.7877873,0.511,10.5
65,Developing,57.73516711,631.675789,0.495,10.3
64.1,Developing,51.50447119,539.8791529,0.483,10.1
62.9,Developing,62.21817261,474.2238766,0.47,10
61.5,Developing,8.38611924,48.615184,0.458,9.7
63,Developing,55.59543946,362.4213785,0.445,9.3
59.3,Developing,30.91060554,339.676984,0.427,8.2
58.5,Developing,27.68971051,321.22634,0.412,7.6
57.7,Developing,0.328418056,3.685949,0.401,7.2
57.3,Developing,0,1244.429421,0.514,10.4
56.7,Developing,61.39263642,1441.1417,0.507,10.4
56.4,Developing,63.07890158,1365.34419,0.501,10.4
55.9,Developing,68.55839112,1255.648189,0.496,10.4
55.6,Developing,83.18071241,1295.649726,0.486,10
55.3,Developing,100.8987451,1182.869227,0.48,9.7
54.8,Developing,9.042540892,123.19538,0.473,9.2
54.2,Developing,68.7073044,1233.524316,0.466,8.8
53.6,Developing,7.562892922,111.71186,0.456,8
53.3,Developing,0.962497052,12.989164,0.456,8.2
52.8,Developing,73.03276195,952.1872484,0.456,8.3
52.1,Developing,7.177302132,93.211716,0.455,8.2
51.8,Developing,67.63925302,824.8689393,0.452,8.1
51.6,Developing,53.70597428,676.397661,0.452,8.4
51.5,Developing,41.73629221,614.6729339,0.437,7.1
51.4,Developing,4.720593531,68.414399,0.433,6.9
82.2,Developing,0,43315.744,0.919,16.3
82,Developing,102.1902168,544.43376,0.912,15.9
81.8,Developing,9733.228019,52413.72116,0.909,15.9
81.6,Developing,9748.636237,52496.69487,0.907,15.9
81.5,Developing,971.9280384,5282.2176,0.903,15.9
81.2,Developing,8649.674911,47447.4762,0.898,15.9
81,Developing,864.94993,4773.45436,0.898,15.9
87,Developing,8433.936814,46596.33599,0.897,15.8
85,Developing,7946.743581,44544.5268,0.894,15.8
85,Developing,771.1817686,4386.69948,0.891,15.8
81,Developing,6333.177967,36189.58838,0.886,15.8
80,Developing,5513.329924,31979.87195,0.881,15.8
79.7,Developing,4687.845565,28172.14883,0.877,15.8
79.5,Developing,3895.856308,24167.8431,0.872,15.8
79.4,Developing,3665.089703,23691.59472,0.867,15.8
79.1,Developing,3787.49456,24124.16917,0.864,15.9
52.5,Developing,0,348.381417,0.347,7.1
58,Developing,53.43964323,377.132274,0.345,7.1
49.9,Developing,52.37766601,337.4849614,0.37,7.1
53,Developing,7.344808214,486.41114,0.366,7.1
49.8,Developing,58.52947463,494.336779,0.361,6.8
49.2,Developing,43.48359197,446.4434494,0.352,6.6
48.6,Developing,40.45156933,449.961839,0.345,6.4
47.6,Developing,67.34137528,456.8614334,0.338,6.3
46.8,Developing,60.04884821,397.148467,0.33,6.2
46.3,Developing,46.90117916,347.673678,0.323,6
45.9,Developing,40.92207976,327.1149461,0.319,5.9
45.7,Developing,41.50111735,313.21598,0.315,5.7
45.7,Developing,46.11619441,286.25819,0.316,5.6
45.6,Developing,31.5941587,253.768343,0.315,5.4
45.6,Developing,33.65315697,243.1586486,0.314,5.3
46,Developing,30.78382657,243.5429317,0.312,5.2
53.1,Developing,0,777.248751,0.394,7.3
52.6,Developing,11.3020668,125.998515,0.39,7.3
52.2,Developing,76.52382535,986.13177,0.387,7.3
51.8,Developing,57.8242709,973.472574,0.381,7.3
51.6,Developing,67.76269089,989.2363633,0.37,6.7
51.2,Developing,43.57328908,896.5697341,0.36,6.7
57,Developing,4.982900401,84.455939,0.343,6.3
49.6,Developing,49.09198224,929.772391,0.338,6
49.4,Developing,5.962923532,81.683884,0.306,5.7
48.5,Developing,62.67225971,712.1847694,0.303,5.5
